doi	affiliations	countries	properties
10.1186/s40064-016-3200-7	Faculty of International Business and Economics, University of Economics and Business Vietnam National University - Hanoi Cau Giay, Hanoi Vietnam	Viet Nam	body,top down,context,diversity,participatory design
10.1007/978-3-319-44215-0_22	MIT Media Lab Cambridge USA	United States	body,ideation,workflow,top down,environmental,participatory design
10.1007/978-3-319-17263-7_5	University of Milan Italy	Italy	body,top down
10.1007/978-3-319-73062-2_13	School of Communication American University Washington, D.C. USA;Schools of Cinematic Arts and Communication University of Southern California Los Angeles USA;School of Communication University of Southern California Los Angeles USA	United States	involvement,furniture,stakeholders,top down,participatory design
10.1007/978-3-642-04385-7_7	School of Electronic Engineering and Computer Science, Queen Mary University of London UK	Unknown	environmental,stakeholders,top down,body
10.1007/978-3-319-20804-6_53	Link Campus University Rome Italy;ISIA Roma Design Rome Italy	Italy	involvement,furniture,stakeholders,top down,context
10.1007/978-1-4614-6286-6_3	School of Management and Economy Tel-Aviv-Yaffo Academic College Yaffo Israel	Israel	body,involvement,top down
10.1007/978-1-84996-205-6_3	Fundacion Tekniker Eibar Spain;Universite Henri Poincare Nancy France;University of Teesside Middlesbrough UK;IB Krates OÜ Tallinn Estonia	Estonia;France;Spain	participatory design,ideation,top down
10.1007/978-3-319-02294-9_72	Department of Mechanical Engineering National Cheng-Kung University Tainan Taiwan, R.O.C.	Taiwan	furniture,top down
10.1007/978-3-319-58484-3_4	Johannes Kepler University Linz Austria	Austria	ideation,context,top down
10.1007/978-3-319-08729-0_26	Faculdade de Ciencias e Tecnologia UNL Caparica Portugal;Holos SA Caparica Portugal	Portugal	body,top down,context
10.1057/9781137351821_4		Unknown	body,top down,context
10.1007/978-3-319-63450-0_7	School of Information Studies McGill University Montreal Canada	Canada	body,participatory design,top down
10.1007/s11042-015-3047-x	Department of Computer Science City University of Hong Kong Kowloon Tong Hong Kong;Department of Computer Science and Engineering University of Connecticut Connecticut USA;Polytechnic School, Ira A. Fulton Schools of Engineering Arizona State University Arizona USA;Department of Computing Baptist University of Hong Kong Kowloon Tong Hong Kong	Hong Kong	body,stakeholders,participatory design,top down
10.1007/978-3-319-60330-8_7	Western Carolina University Asheville USA	United States	body,involvement,participatory design,top down
10.1007/978-3-319-92252-2_33	Graduate School of Creative Industry Design National Taiwan University of Arts New Taipei City Taiwan	Taiwan	environmental,participatory design,top down,body
10.1007/978-3-319-99737-7_50	National University of Tainan Tainan Taiwan;National Cheng Kung University Tainan Taiwan	Taiwan	body,furniture,stakeholders,top down,clothes,wearables
10.1007/s11747-008-0131-z	Eller College of Management University of Arizona Tucson USA;Shidler College of Business University of Hawaii Honolulu USA;School of Business Administration Oakland University Rochester USA	United States	body,ideation,top down
10.1007/978-3-319-64215-4_5	Department of English University of Iowa Iowa City USA	United States	body,top down
10.1007/978-3-319-21753-6_27	Department of Geosciences, Faculty of Science University of Malta Msida Malta	Malta	body,top down,furniture
10.1007/978-3-319-02895-8_53	Image Processing and Interpretation/Vision Systems Ghent University/iMinds Ghent Belgium	Belgium	environmental,top down,furniture
10.1007/978-3-319-55345-0_10	Center for Integrated Smart Sensors Daejeon Republic of Korea	Unknown	participatory design,top down
10.1007/978-3-319-02824-8_6	Steinhardt School of Culture, Education, and Human Development New York University New York USA	United States	body,top down
10.1007/978-1-84800-304-0_12	Cernium Corporation Reston USA	United States	furniture,top down,context
10.1007/978-3-319-26345-8_11	FZI Forschungszentrum Informatik Karlsruhe Germany;HFG Staatliche Hochschule Fur Gestaltung Karlsruhe Germany	Germany	stakeholders,prototype,top down,participatory design
10.1007/978-3-319-21383-5_98	Telecom Italia S.p.A., Future Centre Turin Italy;Department of Aesthetics and Communication Aarhus University Aarhus Denmark;Institute for Informatics and Digital Innovation Edinburgh Napier University Edinburgh UK	Denmark;Italy	involvement,furniture,top down,context,participatory design
10.1007/978-3-319-91638-5_5	Department of Civil and Environmental Engineering University of Michigan Ann Arbor USA	United States	involvement,furniture,stakeholders,top down,clothes,participatory design
10.1007/978-3-319-39715-3_11	Revolution Fibres Ltd. Auckland New Zealand;School of Chemical Sciences University of Auckland Auckland New Zealand;Department of Chemical and Materials Engineering University of Auckland Auckland New Zealand	New Zealand	ideation,top down
10.1007/978-3-319-33681-7_72	Slovak University of Technology in Bratislava Bratislava Slovakia	Slovakia	involvement,ideation,context,top down,environmental
10.1007/978-3-642-10263-9_21	University of Rostock Rostock Germany	Germany	body,stakeholders,prototype,top down,participatory design
10.1057/9781137307866_4	University of Oslo Norway	Norway	body,top down
10.1007/978-1-4419-0953-4_12	VITO NV and Ghent University Mol Belgium	Belgium	environmental,participatory design,top down,body
10.1007/978-3-319-18368-8_21	Faculty of Architecture University of Ljubljana Ljubljana Slovenia	Slovenia	body,involvement,participatory design,top down
10.1007/978-3-658-16389-1_2	Universitat Erlangen-Nurnberg Nurnberg Germany	Germany	body,ideation,furniture,top down
10.1007/s00267-010-9516-0	Department of City and Regional Planning University of North Carolina at Chapel Hill Chapel Hill USA	United States	body,top down
10.1007/978-3-319-61584-4_11	Shatin Hong Kong	Hong Kong	participatory design,top down
10.1007/978-3-319-60450-3_5	Faculty of Architecture Wroclaw University of Technology Wroclaw Poland	Poland	body,involvement,top down
10.1007/978-3-319-91244-8_16	School of Design Arts & Media Nanjing University of Science and Technology Nanjing China	China	body,participatory design,top down,furniture
10.1007/978-3-642-54401-9_1	Berlin School of Economics and Law Berlin Germany;neuland GmbH & CoKG Cologne Germany	Germany	body,top down
10.1007/978-3-319-04651-8_12	Computer Science Department University of Virginia USA;Department of Information and Communication Engineering Daegu Gyeongbuk Institute of Science and Technology (DGIST) Korea	United States	environmental,feedback,top down,body
10.1186/s40410-014-0015-0	Politecnico di Torino Torino Italy	Italy	body,top down,context
10.1007/s11518-013-5219-4	College of Engineering University of Miami Coral Gables USA	United States	body,top down
10.1007/978-3-319-22047-5_11	University of Science and Technology of China Hefei China	China	body,stakeholders,top down,participatory design,wearables
10.1007/978-3-319-78420-5_13	University of Florence Florence Italy;Luiss Guido Carli University Rome Italy;La Sapienza University Rome Italy	Italy	involvement,top down
10.1007/978-3-319-07458-0_10	Dipartimento di Meccanica Politecnico di Milano Milano Italy	Italy	body,furniture,stakeholders,top down,participatory design
10.1007/s12652-018-0998-6	Department of Management Information Systems Chungbuk National University Cheongju South Korea;Department of MSIS Kunming University of Science and Technology Kunming China;Hancom MDS Seongnam-si South Korea	China;South Korea	body,involvement,furniture,stakeholders,top down,environmental
10.1007/s00779-007-0169-9	Athens Information Technology Athens Greece	Greece	furniture,prototype,top down,context
10.1007/978-3-319-73888-8_21	Faculty of Architecture Wroclaw University of Science and Technology Wroclaw Poland	Poland	involvement,ideation,stakeholders,context,top down
10.1007/978-3-319-49058-8_38	Robotics Laboratory, Mihajlo Pupin Institute University of Belgrade Belgrade Serbia	Serbia	body,top down
10.1057/9781137374851_4	Goldsmiths, University of London UK	Unknown	body,top down
10.1007/978-3-642-36645-1_64	Faculty of Architecture, Building and Planning TU/e, Technical University Eindhoven Eindhoven The Netherlands;Kropman Building Services Contracting TU/e, Technical University Eindhoven Eindhoven The Netherlands	Netherlands	diversity,top down
10.1007/s12652-017-0467-7	LIARA Laboratory Universite du Quebec a Chicoutimi Chicoutimi Canada	Canada	environmental,ideation,body,top down
10.1007/s12626-016-0065-8	College of Technological Innovation Zayed University Abu Dhabi United Arab Emirates	United Arab Emirates	body,stakeholders,participatory design,top down
10.1007/978-3-319-52971-4_13	Department of Communication and Arts University of Queensland Queensland Australia	Australia	body,top down
10.1007/978-981-10-3518-0_77	Punjabi University Patiala Patiala India	India	body,top down,furniture
10.1186/s12911-015-0190-2	Department of Computer Science Brunel University Uxbridge UK;Department of Clinical Sciences Brunel University Uxbridge UK;Henley Business School, Greenlands Henley-on-Thames UK	Greenland	stakeholders,participatory design,top down,workflow
10.1007/978-3-319-17028-2_6	Pacific Institute for ISM University of Hawaii Honolulu USA;Managerial Sciences Department University of Nevada Reno USA;School of Business Macao Polytechnic Institute Rua Luis Gonzaga Gomes Macao	United States	ideation,top down
10.1007/978-3-319-11973-1_11	Centre for Autonomous Systems University of Technology, Sydney Ultimo Australia	Australia	guiding robot,stakeholders,top down,feedback,participatory design
10.1007/978-3-642-41043-7_8	Fraunhofer Institute for Computer Graphics Research IGD Darmstadt Germany;KOM - Multimedia Communications Lab TU Darmstadt Darmstadt Germany	Germany	body,stakeholders,top down,context,environmental,participatory design
10.1007/978-3-319-24820-2_7	Department of Philosophy and Moral Sciences Sarton Centre for History of Science Ghent University Ghent Belgium	Belgium	body,top down
10.1007/978-3-642-24455-1_4	Deutsches Forschungszentrum fur Kunstliche Intelligenz (DFKI) GmbH Berlin Germany;Zentrum fur Allgemeine Sprachwissenschaft (ZAS) Berlin Germany	Germany	furniture,top down
10.1007/978-3-319-39510-4_36	Link Campus University Rome Italy;ISIA Roma Design Rome Italy	Italy	stakeholders,participatory design,ideation,top down
10.1007/978-3-319-57837-8_32	Laboratoire d'Informatique, Systemes, Traitement de l'Information et de la Connaissance (LISTIC) Universite Savoie Mont Blanc Annecy-Le-Vieux France	France	furniture,top down,context
10.1007/978-3-319-73494-1_3	Faculty of Civil Engineering and Architecture University of Niš Niš Serbia;Faculty of Applied Arts University of Arts Belgrade Belgrade Serbia	Serbia	body,involvement,clothes,top down
10.1007/978-3-319-66188-9_18	Key Laboratory of High Confidence Software Technologies, Ministry of Education Beijing China;School of Electronics Engineering and Computer Science Peking University Beijing China	China	body,participatory design,top down
10.1007/978-1-4419-0219-1_3	Facilities Planning and Development Los Angeles Community College District Los Angeles USA	United States	environmental,participatory design,top down,body
10.1007/978-3-319-06160-3_10	Department of Economics and Business Studies University of Genoa Genoa Italy;Department of Informatics Bioengineering Robotics and Systems Engineering University of Genoa Genoa Italy;Center for Applied Software Engineering Free University of Bozen Bolzano Italy;Institut fur Informatik University of Innsbruck Innsbruck Austria	Austria;Italy	body,ideation,top down
10.1007/s12652-018-0898-9	Fraunhofer Institute for Computer Graphics Research IGD Darmstadt Germany	Germany	body,stakeholders,top down,feedback,participatory design
10.1007/978-0-387-93808-0_14	University of Essex Essex England	Unknown	stakeholders,top down,workflow
10.1007/s11263-014-0777-6	University of California at Berkeley Berkeley USA;Universidad de los Andes Bogota Colombia	Colombia	body,participatory design,top down,furniture
10.1007/978-3-319-02332-8_3	Ingenieria e Integracion Avanzadas (Ingenia) Malaga Spain;Ingho FM Malaga Spain;Instituto Andaluz de Tecnologia (IAT) Sevilla Spain	Spain	body,top down
10.1057/9781137335234_21	The World Bank USA	United States	diversity,top down
10.1007/978-981-287-287-6_9	Informap Technology Center Sharjah United Arab Emirates	United Arab Emirates	body,furniture,stakeholders,top down,context,wearables
10.1007/978-3-319-19312-0_15	Key Laboratory of High Confidence Software Technologies Ministry of Education Beijing China;School of Electronics Engineering and Computer Science Peking University Beijing China;National Engineering Research Center of Software Engineering Peking University Beijing China	China	body,participatory design,top down
10.1057/9781137382795_8		Unknown	body,furniture,top down,clothes,participatory design
10.1007/978-3-319-61542-4_93	Department of Information and Communication Engineering, Computer Science Faculty University of Murcia Murcia Spain;FINCONS SpA Bari Italy;AIDIMME Valencia Spain	Italy;Spain	stakeholders,top down,context
10.1007/978-3-319-26005-1_20	Tampere University of Technology Tampere Finland	Finland	body,ideation,top down,environmental,participatory design
10.1007/978-3-319-66790-4_4	Interactive Coventry Ltd, Coventry University Technology Park Coventry UK;Coventry University Coventry UK;Coventry University Coventry UK	Unknown	body,involvement,top down,context
10.1007/978-3-662-44188-6_18	Collaborative and Innovative Center for Educational Technology Beijing Normal University Beijing China	China	body,top down,furniture
10.1007/s00371-010-0510-6	Laboratory of Advanced Computing Research, Institute of Computing Technology Chinese Academy of Sciences Beijing China;Graduate University of the Chinese Academy of Sciences Beijing China;National Computer Network Emergency Response Technical/Coordination Center of China Beijing China	China	body,ideation,stakeholders,top down,participatory design
10.3103/S0146411614030043	Faculty of Computational Mathematics and Cybernetics Moscow State University Leninskie Gory, Moscow Russia;Institute of Mathematics and Computer Science University of Latvia Riga Latvia	Latvia	body,stakeholders,top down
10.1007/978-3-642-02580-8_7	Institute of Media Informatics University of Ulm Ulm Germany	Germany	environmental,top down,furniture
10.1007/978-3-658-10937-0_5	TU Dortmund University Dortmund Germany	Germany	body,top down
10.1007/s13132-015-0239-6	Institute of Baltic Studies Tartu Estonia;Ragnar Nurkse School of Innovation and Governance Tallinn University of Technology Tallinn Estonia	Estonia	body,ideation,top down
10.1007/978-3-319-91125-0_15	School of Computing, College of Computing and Digital Media DePaul University Chicago USA	United States	body,involvement,top down
10.1007/s10209-015-0423-2	Applied Computing Graduate Program (PIPCA) University of Vale do Rio dos Sinos (Unisinos) Sao Leopoldo Brazil;Catholic University of Pelotas (UCPel) Pelotas Brazil;Freedom Company Pelotas Brazil	Brazil	ideation,furniture,stakeholders,prototype,context,top down
10.1007/978-3-319-65482-9_55	Aalto University Espoo Finland	Finland	environmental,top down
10.1007/s10055-018-0335-6	Department of Business - Marketing and Consumer Behaviour Vrije Universiteit Brussel Brussels Belgium;Department of Marketing and Strategy Hasselt University Diepenbeek Belgium	Belgium	body,top down,wearables
10.1007/978-3-642-39194-1_9	Fraunhofer Institute for Computer Graphics Research IGD Darmstadt Germany	Germany	furniture,stakeholders,top down
10.1007/s13365-012-0101-6		Unknown	body,top down
10.1057/9781137471567_4		Unknown	body,top down,furniture
10.1007/978-3-319-60450-3_16	DAD - Dipartimento di Architettura e Design Politecnico di Torino Turin Italy	Italy	body,ideation,furniture,top down,participatory design
10.1007/978-3-662-49275-8_74	BPCL Kochi India;IIM Kozhikode Kerala India	India	body,top down,furniture
10.1007/978-3-319-56997-0_6	Fraunhofer Institute for Computer Graphics Research IGD Darmstadt Germany	Germany	stakeholders,top down
10.1007/978-3-642-30817-8_74	Product Design Engineering Universidad EAFIT Medellin Colombia	Colombia	body,ideation,stakeholders,top down,participatory design
10.1007/978-3-319-92285-0_63	Department of Computer Science Virginia Tech Blacksburg USA;Department of Computer and Information Science Virginia Military Institute Lexington Lexington USA;Department of Computer Science and Engineering Lehigh University Bethlehem USA	United States	involvement,furniture,stakeholders,top down,workflow,participatory design
10.1007/s10586-018-2086-2	College of Economic & Management China Three Gorges University Yichang China;Post-Doctoral Scientific Research Workstation China Merchants Bank Shenzhen China	China	stakeholders,top down
10.1057/9780230299238_17		Unknown	body,participatory design,top down
10.1007/978-3-319-31026-8_7	Fiat Chrysler Automobiles Turin Italy;Italgas Milan Italy;Ca' Foscari University Venice Italy	Italy	body,participatory design,top down
10.1007/s11621-015-0555-z	IESE Business School University of Navarra Barcelona Spain;University of St. Gallen St. Gallen Switzerland;BGW Management Advisory Group AG St. Gallen-Wien St. Gallen Switzerland	Spain;Switzerland	involvement,ideation,top down
10.1007/978-1-4471-5358-0_4	Institute for Prospective Technological Studies Seville Spain	Spain	body,ideation,context,top down
10.1057/9780230302075_6		Unknown	body,top down,furniture
10.1007/978-981-10-3521-0_48	Department of Design Indian Institute of Technology Hyderabad Hyderabad India	India	body,ideation,furniture,top down,participatory design
10.1007/978-3-319-42235-0_5	School of Computing Edinburgh Napier University Edinburgh UK	Unknown	body,involvement,top down
10.1007/s10806-017-9675-6	Faculty of Economics and Law Universita Cattolica del Sacro Cuore Piacenza Italy	Italy	body,top down,context
10.1007/978-3-319-30028-3_4	School of Applied Psychology University College Cork Cork Republic of Ireland	Ireland	body,stakeholders,top down,workflow,diversity
10.1007/978-981-287-633-1_2	Faculty of Creative and Cultural Industries University of Portsmouth Portsmouth UK	Unknown	body,involvement,prototype,top down,environmental,participatory design
10.1007/978-981-10-4445-8_5	Nanjing University of Information Science and Technology Nanjing China	China	body,top down
10.1007/s00779-014-0759-2	Industrial Design Department Eindhoven University of Technology Eindhoven The Netherlands	Netherlands	stakeholders,participatory design,top down,context
10.1007/978-3-319-70887-4_2	eHealth Unit Eurecat Technology Center Barcelona Spain;DISMI Universita di Modena e Reggio Emilia Reggio Emilia Italy	Italy;Spain	body,ideation,top down
10.1007/978-3-319-33747-0_50	Politecnico di Milano Milan Italy	Italy	participatory design,top down
10.1007/978-3-319-28961-8_1	Newport USA;Santa Cruz USA	United States	body,top down
10.1007/978-1-4471-7351-9_7	The Open University Milton Keynes UK	Unknown	diversity,ideation,context,top down
10.1007/s10551-011-1162-9	Muskegon Community College Muskegon USA	United States	body,involvement,top down
10.1007/978-981-10-8500-0_4	Rill Insights LLC Florida USA;Riihi Consulting Ltd. Espoo Finland	Finland	body,ideation,furniture,context,top down,participatory design
10.1007/978-981-287-757-4_17	School of Economics and Management Beihang University Beijing China;Planning Division Ministry of Industry and Information Technology of the People's Republic of China Beijing China	China	participatory design,top down
10.1007/s00779-015-0838-z	VTT Technical Research Centre of Finland Oulu Finland	Finland	body,stakeholders,top down,participatory design,wearables
10.1007/978-3-319-07398-9_4	School of Automation Science and Electrical Engineering Beihang University Beijing China;Beijing Simulation Center Beijing China;China CNR Corporation Limited Beijing China;Institute of Manufacture Engineering Chongqing University Chongqing China;DG-HUST Manufacturing Engineering Institute Beijing China;Beijing ND Tech Corporation Limited Beijing China;Wuhan University of Technology Wuhan China	China	body,involvement,ideation,top down
10.1007/978-1-4471-4781-7_15	School of the Built Environment The University of Salford Greater Manchester UK;Department of Public & Social Administration City University of Hong Kong Hong Kong China	Hong Kong	stakeholders,top down,diversity,environmental,participatory design
10.1007/978-3-319-40244-4_19	Department of Industrial Design Chang Gung University Taoyuan Taiwan;Department of Computer Science and Information Engineering Chang Gung University Taoyuan Taiwan;Metal Industries Research & Development Centre Kaohsiung Taiwan	Taiwan	stakeholders,participatory design,top down
10.1007/978-3-319-20804-6_15	Fraunhofer IGD Darmstadt Germany;Technische Universitat Darmstadt Darmstadt Germany	Germany	body,stakeholders,top down,furniture
10.1007/978-94-017-9969-0_3	School of Communication Northwestern University Chicago USA	United States	body,top down
10.1007/978-1-137-32178-7_3	Leeds Beckett University UK	Unknown	body,involvement,ideation,top down,clothes
10.1007/978-3-319-61161-7_20	Klosterneuburg Austria;Leitzersdorf Austria	Austria	body,top down
10.1007/978-3-642-27638-5_12	Built Environment and Sustainable Technologies (BEST) Research Institute Liverpool John Moores University Liverpool UK	Unknown	body,participatory design,top down,furniture
10.1007/978-3-642-02806-9_25	TZI Universitat Bremen Bremen Germany	Germany	participatory design,top down
10.1007/978-3-319-29643-2_1	Institute for Data, Systems, and Society, Massachusetts Institute of Technology Cambridge USA	United States	body,involvement,participatory design,top down
10.1007/978-981-10-7128-7_11	Nashville USA	United States	body,participatory design,top down
10.1007/978-3-319-54502-8_6	Jon Peddie Research Inc. Tiburon USA	United States	body,stakeholders,top down,participatory design,wearables
10.1007/s11036-018-1090-3	Laboratory of Electronics and Microelectronics (EμE), Faculty of Sciences University of Monastir (UM) Monastir Tunisia;XLIM Institute University of Poitiers Poitiers France;University of Avignon, LIA - CERI Avignon France	France;Tunisia	body,involvement,top down
10.1007/978-94-6091-991-6_7	University of Warwick UK;University of Warwick UK	Unknown	body,top down,furniture
10.1007/978-3-642-02713-0_54	LF INESC-ID Lisboa- Spoken Language Systems Laboratory, Lisbon Portugal;GuIAA - Grupo de Investigaçao em Ambientes Autonomos, Lisbon Portugal;ISEL - Instituto Superior de Engenharia de Lisboa, Lisbon Portugal;IST - Instituto Superior Tecnico, Lisbon Portugal	Portugal	participatory design,ideation,top down
10.1007/978-3-319-73888-8_98	School of Design, Guangzhou Higher Education Mega Centre South China University of Technology Panyu District, Guangzhou People's Republic of China	China	body,top down,furniture
10.1007/s10586-013-0303-6	Department of Culture Technology and Contents Hansung University Seoul South Korea;Department of Multimedia Engineering Hansung University Seoul South Korea	South Korea	body,involvement,top down
10.1007/978-1-4471-6446-3_4	CITI, DI-Faculdade de Ciencias e Tecnologia Universidade Nova de Lisboa Caparica Portugal	Portugal	body,stakeholders,prototype,top down,environmental
10.1007/978-3-319-04162-9_2	Institut fur Philosophie Universitat Duisburg-Essen Essen Germany	Germany	diversity,ideation,furniture,top down
10.1007/978-3-319-54446-5_21	Biomedical Engineering University of Glasgow Glasgow Scotland, UK	Unknown	body,involvement,participatory design,top down
10.1007/978-981-10-1610-3_18	School of Planning and Architecture New Delhi (SPA-D) Kozhikode India;Department of Architecture NIT Calicut Kozhikode India	India	body,stakeholders,participatory design,top down
10.1007/s11042-015-2602-9	Department of Computer Science and Information Engineering National Yunlin University of Science and Technology Douliou, Yunlin Republic of China	China	body,ideation,furniture,top down
10.1007/978-3-319-40902-3_2	Urban Studies and Urban Big Data Centre University of Glasgow Glasgow UK;Department or Urban Planning and Policy College or Urban Planning and Public Affairs, University of Illinois at Chicago Chicago USA	United States	body,involvement,stakeholders,top down,context,participatory design
10.1007/978-3-642-40258-6_9	Division of Social Science and Division of Environment Hong Kong University of Science and Technology Kowloon Hong Kong;Division of Social Science Hong Kong University of Science and Technology Kowloon Hong Kong	Hong Kong	diversity,top down,body
10.1007/978-3-319-51505-2_5	Head of Regional Analysis Department, Institute of Socio-Economic Geography and Spatial Management Adam Mickiewicz University in Poznań Poznań Poland;Department of Spatial Policy and Planning, Faculty of Earth Sciences and Spatial Management Maria Curie-Skłodowska University in Lublin Lublin Poland;Department of Strategic and Regional Studies, Faculty of Economics University of Economics in Katowice Katowice Poland;Department of Spatial and Environmental Economics, Faculty of Economics University of Economics in Katowice Katowice Poland	Poland	ideation,top down
10.1007/978-981-10-5939-1_1	Tongji University Shanghai China	China	body,ideation,top down
10.1007/978-3-319-33024-2_6	Victoria and Albert Museum London UK;University of Brighton Brighton UK	Unknown	body,involvement,ideation,top down,participatory design
10.1057/9780230307452_5		Unknown	ideation,context,top down
10.1007/978-3-319-07788-8_15	Fraunhofer Institute for Computer Graphics Research IGD Darmstadt Germany;Multimedia Communications Lab Technische Universitaet Darmstadt Germany	Germany	environmental,feedback,stakeholders,top down
10.1007/s40614-018-0139-8	California Academy of Sciences San Francisco USA	United States	body,involvement,ideation,top down
10.1007/s12273-016-0329-9	Department of Engineering University of Perugia Perugia Italy;Department of Civil & Environmental Engineering University of Perugia Perugia Italy;Perugia Italy	Italy;Peru	body,ideation,furniture,top down,environmental,participatory design
10.1007/978-3-319-06203-7_11	Department of Design and Visual Communication, Art and Design Research Centre (ADRC) Sheffield Hallam University Sheffield UK	Unknown	ideation,top down
10.1007/s10846-018-0885-6	Centre for Automation and Robotics, UPM-CSIC Universidad Politecnica de Madrid Madrid Spain;Vienna University of Technology (TU Wien) Vienna Austria;Metralabs Ilmenau Germany;Aeolus Robotics, Inc. Vienna Austria	Austria;Germany;Spain	stakeholders,top down
10.1007/978-3-319-51645-5_7	Research Institute on Informatics of Toulouse - UMR 5505 University of Toulouse Toulouse France;Serious Game Research Lab Champollion University Toulouse France;University of Toulouse - Jean Jaures Toulouse France;University Hospital Centre of Toulouse Toulouse France	France	body,involvement,stakeholders,top down,feedback,participatory design
10.1007/978-3-319-27048-7_5	Colliers International France R&D Levallois-Perret France;Le Hive, Schneider Electric Rueil Malmaison France	France	participatory design,top down,context
10.1007/978-3-319-06498-7_20	Aalto University School of Science Espoo Finland	Finland	prototype,top down
10.1007/978-3-662-54904-9_2	Munich Germany	Germany	body,top down,context
10.1007/978-3-319-92285-0_13	The Intelligent Design and Art (iDNA) Research Group Alfaisal University Riyadh Kingdom of Saudi Arabia	Saudi Arabia	body,ideation,furniture,prototype,top down,participatory design
10.1007/978-3-642-38977-1_20	Software Institute, School of Electronic Engineering and Computer Science Peking University Beijing P.R. China;Key Laboratory of High Confidence Software Technologies Ministry of Education Beijing China	China	participatory design,top down
10.1007/s10988-017-9227-6	University of Ulsan Ulsan South Korea	South Korea	body,top down,furniture
10.1007/s11050-011-9076-8	Department of Linguistics McGill University Montreal Canada	Canada	involvement,top down,context
10.1007/s13132-015-0243-x	Seconda Universita degli Studi di Napoli Capua Italy;University of Rome "Link Campus" Rome Italy	Italy	body,stakeholders,top down,furniture
10.1007/s12651-016-0200-6	Faculty of Economics and Social Sciences, Economic and Industrial Sociology TU Dortmund University Dortmund Germany	Germany	body,ideation,top down
10.1007/978-3-642-33615-7_10	Institute for Pervasive Computing Johannes Kepler University of Linz Linz Austria	Austria	body,involvement,furniture,top down,context,wearables
10.1186/s40648-018-0123-9	Kyushu University Fukuoka Japan;ROBOTIS Co., Ltd. Seoul Korea	Japan	body,involvement,top down,furniture
10.1007/s11747-017-0541-x	Department of Marketing and Supply Chain Management Maastricht University Maastricht The Netherlands;Cass Business School City University London London UK;UNSW Business School University of New South Wales Sydney Australia;Service Science Factory Maastricht University Maastricht The Netherlands;School of Business and Economics Loughborough University Loughborough UK	Australia;Netherlands	environmental,top down,furniture
10.1007/978-0-230-30207-5_6		Unknown	body,top down,furniture
10.1007/s10984-018-9270-4	School of Education The University of Texas at Tyler Tyler USA;Office of Educational Excellence Ball State University Muncie USA;Department of Educational Psychology Ball State University Muncie USA	United States	body,participatory design,top down
10.1007/978-1-4842-1672-9_4	Rajasthan India	India	stakeholders,top down
10.1007/978-3-642-21535-3_26	University of Limoges Limoges France;Jean Favard High School Gueret France;CNISAM National Center for Innovation in Health, Autonomy and Trades Limoges France;Soins et Sante therapeutic day-care center Limoges France	France	furniture,stakeholders,top down,context,environmental,participatory design
10.1007/978-3-319-77556-2_9	University of Novi Sad, Faculty of Technical Sciences Novi Sad Serbia;Doob Innovation Studio Novi Sad Serbia;Doob Group AG Dusseldorf Germany	Germany;Serbia	body,ideation,top down
10.1007/978-3-642-39194-1_8	Department of Architecture National Cheng Kung University Tainan Taiwan	Taiwan	furniture,stakeholders,participatory design,top down
10.1057/9780230367456_4		Unknown	participatory design,ideation,top down
10.1007/s10606-011-9151-1	Horizon Digital Economy Research University of Nottingham Innovation Park Nottingham UK	Unknown	body,participatory design,top down
10.1007/978-1-4842-2457-1_2	Duesseldorf Germany	Germany	body,stakeholders,top down,context
10.1007/s00779-012-0516-3	Gwangju Institute of Science and Technology Gwangju South Korea;Graz University of Technology Graz Austria;Graduate School of Culture Technology, Korea Advanced Institute of Scienece and Technology Daejeon South Korea	Austria;South Korea	stakeholders,top down,wearables
10.1057/9781137019493_6		Unknown	participatory design,top down
10.1057/978-1-137-47384-4_9	Sheffield Hallam University Sheffield UK	Unknown	furniture,top down
10.1007/978-3-319-35150-6_2	Chair for Comp. Aided Architectural Desn Institute of Technology in Architecture Zurich Switzerland	Switzerland	body,top down
10.1007/978-1-84996-507-1_4		Unknown	body,top down
10.1007/978-1-4419-7545-4_4	Department of Electrical & Information Technology Lund University Lund Sweden;Heterogeneous Computing, LLC Durham USA	Sweden	body,top down
10.1007/978-3-319-47145-7_37	Centre for Studies in Geography Dibrugarh University Dibrugarh India;Tinsukia College Dibrugarh University Dibrugarh India	India	body,top down
10.1007/978-3-642-39470-6_18	FRE 3405 AGIM Laboratory, CNRS-UJF-UPMF-EPHE, Faculty of Medicine Univ. Grenoble-Alpes La Tronche France;UJF-Grenoble1/CNRS/TIMC-IMAG UMR5525 Grenoble France;IDS Montceau-les-Mines France;EMDouai, IA Douai France;Institut Universitaire de France Paris France	France	body,stakeholders,top down,workflow,environmental
10.1007/978-3-319-26401-1_14	Technical University of Madrid Madrid Spain	Spain	body,involvement,top down
10.1007/978-3-642-39253-5_40	Biologically Inspired Objects Laboratory, Department of Industrial Design, College of Architecture & Planning Chung Hua University WuFu Taiwan	Taiwan	furniture,stakeholders,participatory design,top down
10.1007/s12652-016-0411-2	DISA-MIS-Dipartimento di Scienze Aziendali Management & Innovation Systems Universita di Salerno Fisciano Italy;DIEM-Dipartimento di Ingegneria dell'Informazione, Ingegneria Elettrica e,Matematica Applicata Universita di Salerno Fisciano Italy	Italy	body,furniture,top down,context,environmental
